#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 25 12 18 350  1.0  1.5    MM    MM    MM  MM 1014.1  15.2  17.9    MM   MM   MM    MM
2024 10 25 12 12 340  0.5  1.5    MM    MM    MM  MM 1014.1  15.3  17.9    MM   MM   MM    MM
2024 10 25 12 06  30  1.0  1.5    MM    MM    MM  MM 1014.0  15.2  17.9    MM   MM   MM    MM
2024 10 25 12 00 340  1.0  1.5    MM    MM    MM  MM 1013.9  15.2  17.9    MM   MM   MM    MM
2024 10 25 11 54 160  0.5  1.0    MM    MM    MM  MM 1013.8  15.1  18.0    MM   MM   MM    MM
2024 10 25 11 48  40  1.0  1.0    MM    MM    MM  MM 1013.8  15.1  18.1    MM   MM   MM    MM
2024 10 25 11 42  MM  0.0  0.5    MM    MM    MM  MM 1013.9  15.1  18.2    MM   MM   MM    MM
2024 10 25 11 36  MM  0.0  1.0    MM    MM    MM  MM 1013.9  15.0  18.2    MM   MM   MM    MM
2024 10 25 11 30 140  0.5  1.0    MM    MM    MM  MM 1013.8  14.9  18.3    MM   MM   MM    MM
2024 10 25 11 24 150  1.0  1.5    MM    MM    MM  MM 1013.7  14.8  18.2    MM   MM   MM    MM
2024 10 25 11 18 110  1.0  2.1    MM    MM    MM  MM 1013.7    MM  18.3    MM   MM   MM    MM
2024 10 25 11 12 120  1.5  2.1    MM    MM    MM  MM 1013.6    MM  18.3    MM   MM   MM    MM
2024 10 25 11 06 100  1.5  2.1    MM    MM    MM  MM 1013.5    MM  18.3    MM   MM   MM    MM
2024 10 25 11 00 110  1.0  1.5    MM    MM    MM  MM 1013.6  15.0  18.3    MM   MM   MM    MM
2024 10 25 10 54 100  1.0  2.1    MM    MM    MM  MM 1013.6  15.1  18.3    MM   MM   MM    MM
